idea_id,market_size,previous_startups,founder_industry_fit,has_patent_or_ip,problem_uniqueness,competition_level,execution_risk,funding_required_usd,time_to_market_months,predicted_success_score
ID_001,910,3,6,1,3,Medium,10,1923,2,41.25
ID_002,3822,0,8,0,10,Medium,8,847,9,56.76
ID_003,3142,2,9,0,7,Medium,6,1408,18,55.24
ID_004,516,3,4,0,10,Medium,8,908,4,42.69
ID_005,4476,3,1,1,5,Low,5,484,21,74.79
ID_006,3494,1,1,0,10,Low,8,496,16,57.44
ID_007,3221,2,10,1,5,Medium,10,1381,16,60.81
ID_008,2969,2,4,0,7,High,4,298,23,49.86
ID_009,180,0,7,0,9,Medium,10,215,15,33.27
ID_010,1735,2,2,0,5,Low,8,1554,15,39.75
ID_011,819,0,3,0,1,Medium,10,1033,3,18.04
ID_012,2441,2,1,0,10,Medium,2,1408,14,50.53
ID_013,2483,1,5,0,10,Low,5,1069,15,55.47
ID_014,1234,2,1,1,1,Medium,9,591,20,37.6
ID_015,4605,0,8,0,2,Medium,4,808,8,52.6
ID_016,3435,0,1,1,6,Medium,6,1179,4,51.69
ID_017,4167,1,1,1,9,Medium,1,1636,16,65.95
ID_018,4893,2,2,0,8,Low,9,130,15,67.79
ID_019,2954,2,2,0,5,Low,1,182,12,57.46
ID_020,524,1,6,0,1,Low,5,846,16,32.05
ID_021,1132,2,7,0,7,High,4,949,14,39.4
ID_022,2608,2,5,0,5,High,3,187,19,46.86
ID_023,2097,0,1,0,6,Medium,6,233,7,37.21
ID_024,2797,2,1,0,7,High,2,1474,4,42.92
ID_025,1025,2,3,0,3,Medium,3,1403,20,32.81
ID_026,1856,1,2,1,10,Medium,5,834,16,54.59
ID_027,239,1,5,0,3,Medium,9,1581,6,21.59
ID_028,2784,3,10,1,5,Low,2,1925,11,70.49
ID_029,3055,0,6,1,6,Low,10,1033,8,56.96
ID_030,4708,2,7,0,9,Medium,8,118,18,68.97
ID_031,1949,2,4,1,5,Medium,2,595,8,56.13
ID_032,1317,3,7,0,1,Low,5,1847,23,40.73
ID_033,1578,2,8,0,4,High,7,102,13,39.5
ID_034,3252,0,1,0,5,Medium,8,1523,18,36.3
ID_035,3606,3,6,0,10,Low,1,254,14,75.93
ID_036,3940,0,8,1,10,High,6,175,21,66.48
ID_037,696,3,5,0,5,High,1,1820,5,34.1
